"time","Amm_mgL"
"14/07/2020 20:",1.51738
"14/07/2020 21:",1.49046
"14/07/2020 22:",1.54324
"14/07/2020 23:",1.4365
"15/07/2020 00:",1.33865
"15/07/2020 01:",1.23071
"15/07/2020 02:",1.01924
"15/07/2020 03:",0.89603
"15/07/2020 04:",0.789356
"15/07/2020 05:",0.668529
"15/07/2020 06:",0.577888
"15/07/2020 07:",0.354631
"15/07/2020 08:",0.18336
"15/07/2020 09:",0.264578
"15/07/2020 10:",0.270895
"15/07/2020 11:",0.391031
"15/07/2020 12:",0.430503
"15/07/2020 13:",0.64644
"15/07/2020 14:",0.855806
"15/07/2020 15:",0.888615
"15/07/2020 16:",0.965305
"15/07/2020 17:",1.21453
"15/07/2020 18:",1.28592
"15/07/2020 19:",1.42954
"15/07/2020 20:",1.32005
"15/07/2020 21:",1.36853
"15/07/2020 22:",1.42
"15/07/2020 23:",1.32257
"16/07/2020 00:",1.22984
"16/07/2020 01:",1.14447
"16/07/2020 02:",1.04696
"16/07/2020 03:",0.954835
"16/07/2020 04:",0.903558
"16/07/2020 05:",0.835633
"16/07/2020 06:",0.657648
"16/07/2020 07:",0.669252
"16/07/2020 08:",0.520776
"16/07/2020 09:",NA
"16/07/2020 10:",0.364597
"16/07/2020 11:",0.383614
"16/07/2020 12:",0.461038
"16/07/2020 13:",0.663218
"16/07/2020 14:",0.819029
"16/07/2020 15:",0.907706
"16/07/2020 16:",0.947547
"16/07/2020 17:",1.06382
"16/07/2020 18:",1.22632
"16/07/2020 19:",1.42515
"16/07/2020 20:",1.45058
"16/07/2020 21:",1.4599
"16/07/2020 22:",1.47103
"16/07/2020 23:",1.40058
"17/07/2020 00:",1.37361
"17/07/2020 01:",1.25955
"17/07/2020 02:",1.18541
"17/07/2020 03:",1.1224
"17/07/2020 04:",0.985516
"17/07/2020 05:",0.871643
"17/07/2020 06:",0.719959
"17/07/2020 07:",0.662949
"17/07/2020 08:",0.359437
"17/07/2020 09:",0.37858
"17/07/2020 10:",0.376076
"17/07/2020 11:",0.431332
"17/07/2020 12:",0.487465
"17/07/2020 13:",0.769651
"17/07/2020 14:",0.930453
"17/07/2020 15:",1.06434
"17/07/2020 16:",1.20687
"17/07/2020 17:",1.29746
"17/07/2020 18:",1.36062
"17/07/2020 19:",1.33311
"17/07/2020 20:",1.37456
"17/07/2020 21:",1.39533
"17/07/2020 22:",1.36337
"17/07/2020 23:",1.26719
"18/07/2020 00:",1.24467
"18/07/2020 01:",1.07612
"18/07/2020 02:",1.05459
"18/07/2020 03:",0.929529
"18/07/2020 04:",0.824615
"18/07/2020 05:",0.722129
"18/07/2020 06:",0.688658
"18/07/2020 07:",0.460283
"18/07/2020 08:",0.356305
"18/07/2020 09:",0.240709
"18/07/2020 10:",0.254772
"18/07/2020 11:",0.321802
"18/07/2020 12:",0.359694
"18/07/2020 13:",0.608764
"18/07/2020 14:",0.7541
"18/07/2020 15:",0.911226
