observed_timestamp,PREORE_VAKI-Weight_dailymean [g]
2020-01-18 00:00:00+00:00,97.7089068825911
2020-01-19 00:00:00+00:00,105.44041944709247
2020-01-23 00:00:00+00:00,117.36842105263158
2020-01-24 00:00:00+00:00,115.2822966507177
2020-01-25 00:00:00+00:00,109.88876529477197
2020-07-03 00:00:00+00:00,292.08997429305913
2020-07-04 00:00:00+00:00,279.2878787878788
2020-07-05 00:00:00+00:00,274.983498349835
2020-07-06 00:00:00+00:00,313.75310344827585
2020-07-07 00:00:00+00:00,372.836820083682
2020-07-08 00:00:00+00:00,316.9965635738832
2020-07-09 00:00:00+00:00,279.05080213903744
2020-07-10 00:00:00+00:00,221.64741641337386
2020-07-11 00:00:00+00:00,268.1053333333333
2020-07-12 00:00:00+00:00,333.9023508137432
2020-07-13 00:00:00+00:00,342.6595744680851
2020-07-14 00:00:00+00:00,315.28215767634856
2020-07-15 00:00:00+00:00,248.18327974276528
2020-07-16 00:00:00+00:00,250.67465753424656
2020-07-17 00:00:00+00:00,242.55113636363637
2020-07-18 00:00:00+00:00,256.54773869346735
2020-07-19 00:00:00+00:00,263.1657608695652
2020-07-20 00:00:00+00:00,250.5445641527914
2020-07-21 00:00:00+00:00,259.179435483871
2020-07-22 00:00:00+00:00,257.46193952033366
2020-07-23 00:00:00+00:00,276.3292181069959
2020-07-24 00:00:00+00:00,289.46920289855075
2020-07-25 00:00:00+00:00,271.82569832402237
2020-07-26 00:00:00+00:00,285.6360153256705
2020-07-27 00:00:00+00:00,285.86416184971097
2020-07-28 00:00:00+00:00,303.75172413793103
2020-07-29 00:00:00+00:00,326.6139534883721
2020-07-30 00:00:00+00:00,358.90314136125653
2020-07-31 00:00:00+00:00,321.2032520325203
2020-08-01 00:00:00+00:00,367.09774436090225
2020-08-02 00:00:00+00:00,293.75
2020-08-19 00:00:00+00:00,214.0
2020-08-20 00:00:00+00:00,277.3525498891353
2020-08-21 00:00:00+00:00,274.2439335887612
2020-08-22 00:00:00+00:00,280.52848101265823
2020-08-23 00:00:00+00:00,323.67063492063494
2020-08-24 00:00:00+00:00,274.98950131233596
2020-08-25 00:00:00+00:00,279.16503267973854
2020-08-26 00:00:00+00:00,295.16947115384613
2020-08-27 00:00:00+00:00,288.39330543933056
2020-08-28 00:00:00+00:00,316.8915254237288
2020-08-31 00:00:00+00:00,324.0
2020-09-01 00:00:00+00:00,295.66855845629965
2020-09-02 00:00:00+00:00,294.1470588235294
2020-09-03 00:00:00+00:00,305.2986111111111
2020-09-06 00:00:00+00:00,325.4920634920635
2020-09-07 00:00:00+00:00,345.55291576673864
2020-09-08 00:00:00+00:00,346.51633986928107
